                                     | Core 0      
  Instructions                       |  16644570175
  Cycles                             |  13360526172
  IPC                                |         1.25
  Time (ns)                          |   5022754200
  Idle time (ns)                     |          333
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2338486587
  num incorrect                      |    277096807
  misprediction rate                 |       10.59%
  mpki                               |        16.65
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   2581477579
    num misses                       |          182
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |   6208375085
    num misses                       |      1300215
    miss rate                        |        0.02%
    mpki                             |         0.08
  L2 TLB                             |             
    num accesses                     |      1300397
    num misses                       |       648716
    miss rate                        |       49.89%
    mpki                             |         0.04
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   2581477579
    num cache misses                 |       216006
    miss rate                        |        0.01%
    mpki                             |         0.01
  Cache L1-D                         |             
    num cache accesses               |   6208375389
    num cache misses                 |    127860013
    miss rate                        |        2.06%
    mpki                             |         7.68
  Cache L2                           |             
    num cache accesses               |    129335373
    num cache misses                 |     79776731
    miss rate                        |       61.68%
    mpki                             |         4.79
  Cache L3                           |             
    num cache accesses               |     81038320
    num cache misses                 |      6680231
    miss rate                        |        8.24%
    mpki                             |         0.40
DRAM summary                         |             
  num dram accesses                  |     11868694
  average dram access latency (ns)   |     14068.74
  average dram queueing delay        |     14015.31
  average dram bandwidth utilization |        1.00%
Coherency Traffic                    |             
  num loads from dram                |      4428387
  num loads from dram cache          |            0
  num loads from remote cache        |            0
